name,identifier,top_match,top_ent_num,score
"SOCIETE EN NOM COLLECTIF CTL 2521, PAR ABREVIATION SNC CTL 2521",969500YJVZQKYVSR6V92,"ASSOCIATION FOR EDUCATION, CULTURAL, AND TO CREATE SOCIETY - SIRAT",8225,48.275862068965516
MANUREVA CONSULTING,969500HD4TW1WRG10U63,KAMCHEV CONSULTING,45209,75.67567567567568
Fine Fresh Foods Corp.,254900LH2VPECFQDP376,FRESHVALE EOOD,49536,66.66666666666667
JUNIPER GROUP SARL,969500TG8DAJ0TYTTT31,NIT GROUP FZE,49404,72.72727272727273
SANCHEZ-LEHMAN NOTAIRES,969500754J1L2DRN0R72,,,0.0
BGR,969500LI1NSSX76RLQ70,,,0.0
LEO'S,969500A2H2Z7AH6IDQ34,,,0.0
PIERRE-OLIVIER BRECHE ARCHITECTURES,9695004QBISZKPT1JM98,PRINCE HUAN YU ARCHITECTURAL DECORATION ENGINEERING CAMBODIA CO. LTD.,55613,50.526315789473685
CIRCUL'EGG,969500M7YABUEI61I942,CIRCUITO ELECTRONICO S.A. DE C.V.,12188,42.42424242424242
SOFIGE,9695002H6JFKN3V8QT19,PARKSTROY-SOFIA OOD,31997,31.999999999999996
HOLDING LA PARADE,969500V8S639KGLJED11,PAPA HOLDING LTD,48096,84.61538461538461
EDUCSUP,969500OJ92NYBPP4ZC10,SCIENTIFIC EDUCATION KOREA STUDIO,34022,30.000000000000004
EDUCSUP GESTION,969500CLMYYLIFIDFA92,GESTION HYSA INC,56334,51.85185185185186
SANSO PERSPECTIVES II,969500481H3VX4MXSA32,CJSC PERSPECTIVE TECHNOLOGIES AGENCY,51342,57.692307692307686
TOMORROW PRIVATE EQUITY FUND I,969500IRNTKGCZBHVN11,GOOD EQUITY TEAM PTE. LTD.,55562,57.89473684210527
FINANCIERE JOHN BESLAY,969500LRRTVTUPIS1Q41,B-FINANCE LTD,24223,58.06451612903225
CONTREMOULIN,969500NZDH9QDZ0E5320,POUYA CONTROL,15605,56.00000000000001
MIFA,969500Q7UV7364S96O82,,,0.0
ARTHAIS MANAGEMENT,9695000A3NDWRHCHC232,ABR MANAGEMENT AO,20283,80.0
SCIERIE DES ALPES DU SUD HOLDING,969500XNUZ3I51RRBM83,TOSE-E DIDAR IRANIAN HOLDING COMPANY,25634,56.666666666666664
SERRES DE KERGADIOU,969500VILWN38PUGXC61,,,0.0
MAKELYS,969500J23ITQT8D6V947,ZANJAN ACID MAKERS,25047,40.0
CTE OEUVRE SOC DEP FONCT PUB TERRITOR,969500CXS5L10EEJWU81,IRAN'S COUNTER-TERROR SPECIAL FORCES,34100,54.794520547945204
PSITHURISME,969500J8FPMB5ZB0O339,,,0.0
SPFPL CP PHARMA,969500CQ9UB0EXHTS309,CITY PHARMA SARL,28535,61.53846153846154
HD3,969500LR2V3YZLFQLL85,,,0.0
AIR-CAV-24,969500E8D9RSXIDHUB86,,,0.0
SPHINX,969500JRHC4SYE5ZIU74,,,0.0
AMLIFT,969500HKSH07N32XHL18,,,0.0
AVS SARREBOURG,969500UOKG6POGMYV521,PARS SARRALLE,30408,59.25925925925925
HBE 81,96950096NRY1JRW6YM50,,,0.0
SPFPL DE CHIRURGIEN-DENTISTE SEBAG SPORTICH,969500BWTP07Q2PAD651,PREZIDENTSKIY SPORTIVNIY KLUB,33392,43.47826086956522
M&M,969500T2QCX9RUQZWM41,,,0.0
OUIDO PRODUCTIONS,969500VKIETGD7L8E195,LLC PRODUCTION COMPANY AQUARIUS,39141,72.22222222222221
RETROSPECT,969500NIXX7UZ8TWMJ27,,,0.0
STAT MARINE,969500I3N6YTO8M9QI77,VAST MARINE INCORPORATED,57004,81.81818181818181
SCH EXPERTISE,969500S3E1UA51OSNV89,IBS EXPERTISE,48404,84.61538461538461
LEAUTE,969500PCF4V12M9AS705,,,0.0
BE BOX DEVELOPMENT,969500PLG72N96QAEC69,LLC AEON DEVELOPMENT,46031,82.35294117647058
TRADE-LINE,969500F1P22I99197860,ELITAN TRADE OOO,41985,81.81818181818181
HOLDING SEPRO,969500JNR05HY4J53O17,RB HOLDING LIMITED,42744,78.26086956521739
THE BRIDGE CORPORATE FINANCE,9695008IA1R56OX9LI16,CORPORATE FINANCE BANK LLC,51809,82.6086956521739
FONCIERE DE TURIN,9695004U2FP7O7Y2K423,MINISTERIO DE TURISMO DE CUBA,58059,48.64864864864865
LENATHAN ANGERS,969500370N8WA7ARF561,ASIAN SEA ANGEL,54458,53.333333333333336
TARTIFLETTE INVEST,96950060CKDU9AHSTK51,"TREID-INVEST, OOO",26674,66.66666666666667
KAD-X-HOLDING,969500ZX0AVW7PM8Y165,"I AND S HOLDING COMPANY, S.A.",13356,75.0
SC VAROQUI,969500TDU5SISFXKW687,LITOGRAFIA VARON,16473,38.46153846153846
SKYY INVEST,969500JLAER26OA2YH57,OOO TKH-INVEST,40190,76.19047619047619
TAO ARRAS,969500R0ANF0K6JHQD90,,,0.0
BRICE BOHUON AVOCAT,969500OULEWIR800R142,1425 BRICKELL AVENUE 64E LLC,20262,41.860465116279066
HOMME & STRATEGIE,969500R7CGHLZT03I112,STRATEGIC ROCKET FORCE,18568,59.45945945945945
PONANT,969500GJAMHYED6DAI83,,,0.0
M DECORATION,969500TO464T9U8VSW06,PRINCE REAL ESTATE DECORATION ENGINEERING CO. LTD.,55866,41.509433962264154
HOLDING LS,96950095NLLAAEO7A215,LTS HOLDING LIMITED,19045,95.23809523809523
LIDAN HOLDING,969500R9R4JNM0NRS559,LUFINDO HOLDING LIMITED,51362,78.57142857142857
NOT.AD,969500FAWJ6V0J12WS98,,,0.0
HIDDEN GEMS,96950078PJ4807EGWV02,SHREEJI GEMS LTD,54810,60.86956521739131
SPF GLOBAL,254900SDCLCED1RQIM34,TMSD GLOBAL PRIVATE LIMITED,51234,76.19047619047619
"MARBLE ARCH MANAGEMENT, LLC",254900IOLNN4KYJOQF25,DAWN MARINE MANAGEMENT CO LTD,23151,77.27272727272727
Maki Capital AG,254900HA3LV52YP6AQ84,CJSC IIB CAPITAL,41918,78.26086956521739
DC DESIGN CONSULTING LTD,254900HNNAW26ETCEH83,DEVICE CONSULTING CO. LTD.,43134,75.67567567567568
GLANSIS - CONSULTORIA LDA,254900FIHKW74CYV7X22,CONSTRUCTORA HENA LTDA.,8741,66.66666666666667
SOL RIVERSIDE LLC,254900KX3AWWVWWUX895,SWORD RIVER LIMITED,55944,66.66666666666667
Towd Point Mortgage Trust 2026-CES4,254900WC92V8A7YIJW83,76 BENMORE GARDEN TRUST,42311,55.172413793103445
FOUNDRY OFFSHORE FUND HOLDINGS (PES II) FIB LLC,984500E71ADF5T0D8C67,TOSE-E DIDAR IRANIAN HOLDING COMPANY,25634,55.072463768115945
PAGE HOLDINGS & INVESTMENTS LTD,254900ODXIWR51KULY40,SPECTRUM INVESTMENT HOLDING,19276,80.76923076923077
PAWEŁ WOŹNIAK FUNDACJA RODZINNA,2594006MDLQC6HLGV127,PALESTINIAN RELIEF FUND,7917,48.14814814814815
"AG-RC III SUNRISE OWNER, L.L.C.",254900DSNPAOJZOUL382,RIVIERA SUNRISE RESORT & SPA,22415,57.14285714285714
