name,identifier,top_match,top_ent_num,score
NCC READY TRANSFER SOCIETA' COOPERATIVA,81560060ACE535D72D61,KOREA SOUTH-SOUTH COOPERATION CORPORATION,23178,59.70149253731343
measure-productions B.V.,724500EW92XI3EUL7F03,LLC PRODUCTION COMPANY AQUARIUS,39141,73.6842105263158
CENNAMO CARNI DI CENNAMO ALFONSO & C. S.A.S.,815600F36F2437F3FF25,ALIMENTOS CARNICOS DE TRADICION ESPANOLA LTDA.,11784,50.0
VIVID ADAPT LTD,391200D4U0BEK4Z7L379,VIVID ENERJI YATIRIMLARI ANONIM SIRKETI,47274,31.999999999999996
4M ENGINES S.R.L.,81560095D612A28D0E66,S 7 ENGINEERING LLC,47939,64.0
Asad Top B.V.,724500VUYOGAZBK58348,,,0.0
VEDUS SUPPLY-CHAIN MANAGEMENT PRIVATE LIMITED,335800DDXQSAMHW25S92,RAZAVI SUPPLY CHAIN MANAGEMENT CO.,30853,77.96610169491525
"ING DIRECT 15, FONDO DE PENSIONES",959800CAA564GYX6QL71,RUSSIAN DIRECT INVESTMENT FUND,34036,61.01694915254237
Siivo.at Oy,894500P3IEHA01UR2046,,,0.0
SUMEET INFRABUILD,335800JFL4Z3LUT37371,JSC INFRAVEB,35001,48.0
"ING DIRECT 16, FONDO DE PENSIONES",959800DZWFMYV2DLCL06,RUSSIAN DIRECT INVESTMENT FUND,34036,61.01694915254237
M/S SHRI SANWARIYA AGROTECH,648800EZ52RNSZ4EM458,AGROPECUARIA MAIS S.A.S.,20208,54.54545454545454
ADENIUM S.R.L.,8156008B092AC5DE2754,ISLAMIC ARMY OF ADEN,6900,50.0
"ING DIRECT 17, FONDO DE PENSIONES",959800YU90S24T78NG62,RUSSIAN DIRECT INVESTMENT FUND,34036,61.01694915254237
AGROTEC TECNICAS PARA LA INDUSTRIA SOCIEDAD LIMITADA,529900VXT28NUQ1TZZ46,INDUSTRIA AGROPECUARIA SANTA ELENA LTDA.,7584,59.09090909090908
"Crestbreak Capital, LLC",254900JRWD2XK6X2K412,SBERBANK CAPITAL LLC,18669,76.47058823529412
FERO DOOR CONCEPTS LLP,6488007XHA5O4OYJAW60,CONCEPTOSCREEN,36083,62.5
"ING DIRECT 18, FONDO DE PENSIONES",959800R2KUJ528HJ2177,RUSSIAN DIRECT INVESTMENT FUND,34036,61.01694915254237
Arbitrary B.V.,636700WW4AYUGAMOHF84,,,0.0
Seitz Objektverwaltung GmbH,391200U3JWLW17UQQG89,OZEAN HORIZONT OBJEKTPLANUNG GMBH & CO. KG,44239,48.0
"ING DIRECT 19, FONDO DE PENSIONES",9598005VEJG5JPQSE012,RUSSIAN DIRECT INVESTMENT FUND,34036,61.01694915254237
BATO-Pluimvee B.V.,7245000JL60XYI0BUR94,,,0.0
Gabriels Beheer B.V.,72450057I209YYCZIO21,GHADIR TOSE-E SAAMANEHAYE BEHENGAAM,25946,43.99999999999999
JAMUNA NAINENI,648800ILXZ67U4QRV037,,,0.0
INVOGUE BUILDING SYSTEMS PRIVATE LIMITED,335800ZCG8V70PEBMZ66,LIMITED LIABILITY COMPANY MALVIN SYSTEMS,41115,62.5
PPM Immo GmbH,39120044Q5W6HZ50RC78,PYRAMAXIA IMMOPROJEKT GMBH AND CO. KG,44205,48.275862068965516
Star River-Intuito Global Macro Fund,984500A143B79B9F3B36,ANTI-GLOBALIZATION MOVEMENT OF RUSSIA,36137,57.14285714285714
SUNIL AUTOMOBILES,648800AMI4LSZXEMNY55,SES AUTOMOBILE,8882,77.41935483870968
DHANRAJ ANANDA PADALE,648800UP2IT0HLU25608,,,0.0
Topia gebiedsontwikkeling B.V.,724500VFOFEE2E8L2M46,,,0.0
"VICTORIANO MARITIMA, AIE",9598002M1V5NU4WR1409,MINERA LA VICTORIA SA,57902,68.42105263157895
ADAP Technik GmbH,3912004V1AWFLX45I562,FANAP TECH,55010,72.72727272727273
Nehren und Dohr GmbH,391200EIO2IT7JZPO732,,,0.0
"VARILLA MARITIMA, AIE",9598004JYD3R27JETL77,ARTVIN MARITIME AND TRADE LIMITED COMPANY,42178,63.41463414634146
GROWTH JOCKEY PRIVATE LIMITED,648800ZQ9Z16BYFR5A02,"GROWTH TRADING CO., LIMITED",56428,51.85185185185186
DNYANLAXMI DEVELOPERS,3358007D4LKRJTFGTA70,LANDTEK DEVELOPERS,19974,66.66666666666667
tech reform GmbH,894500P2W8A7G4J8FS48,FORENT TECHNIK GMBH,23145,64.0
S&B.B. Holding B.V.,7245002T4XLYHRL7E631,RTS-HOLDING JSC,34768,78.26086956521739
"BERMEA NAVAL, A.I.E.",959800EMBXCF5FPFPC68,KISH ASIA NAVAK,25912,51.61290322580645
Bellino Properties Limited,984500106CS9CECDVA61,BENA PROPERTIES,12745,84.84848484848484
MAGIC S.R.L.,529900UBRKBBVSEVVK82,MAGICAL EAGLE LIMITED,54244,55.55555555555556
GESTIONES DE POSADAS DEL DUERO SL,529900C5BDI7GCE36504,GESTION HYSA INC,56334,52.63157894736843
"PV Denver 45th, LLC",254900S1U6IC3WG02M66,DENVAS SERVICES PRIVATE LIMITED,50786,48.275862068965516
Mappes Ventures GmbH,875500RC4Y3JTP552D19,SME VENTURE LLC,34674,76.92307692307692
HEER FASHION,335800NLX7P62WQK6C55,"VNV FASHIONS, S.A. DE C.V.",56053,59.25925925925925
OSER LUNILO SL,98450006683CB65AA743,OSERMACA,12437,36.36363636363637
تينزاي تريدينغ ليمتد,984500F994A7EDD46086,,,0.0
Richter Bau GmbH,3912001FEJ8CP4OQMN14,UNITED RICHES GLOBAL LIMITED,55948,58.06451612903225
De Cloese Vastgoed B.V.,7245004175GX4R8URL56,CG - VASTGOED INVEST,35311,72.72727272727273
G.R. Leerdam / Frisland,724500WG7YN1PXXJTV48,,,0.0
SHREE PARAMANANDA COTTON MILL,98450091BAAQBC54E371,YAZD INDUSTRIAL CONSTRUCTIONAL STEEL ROLLING MILL,30755,46.15384615384615
Rusthoek Beheer B.V.,724500AJTO150LIGRB61,LIMITED LIABILITY COMPANY RUSTEKH TD,50431,45.714285714285715
SWARAJYA BHARAT GAS,648800E03OBIUMVU0Y44,"BHARDWAJ, S.A. DE C.V.",54709,46.666666666666664
K. H. Rübsam GmbH,894500P2QOQFT57CS861,,,0.0
GRUPO GREMVI GALICIA SL,5299002MPAYXHYXB2B23,"GRUPO CINJAB, S.A. DE C.V.",13419,57.89473684210527
"MESSINA NAVIERA, A.I.E.",9598001UX91HEKT8N646,NAVID COMPOSITE MATERIAL COMPANY,16444,55.81395348837209
Autohaus Lorenzen GmbH,391200SVRLSFUJ7GSS04,"IMPORTADORA LORENZANA, S.A.",13435,57.89473684210527
Elevation Gym B.V.,724500F6CYYBVQZXCU14,ELEVENTH OCEAN GMBH & CO. KG,25461,51.85185185185186
DHIMAN ENVIRO PRIVATE LIMITED,894500P2L56O65VH4O27,ENVIGO GMBH & CO. KG,44270,52.63157894736843
"L&L MARKET PLACE, LLC",25490016FOH3MKTVVD69,HYDRA MARKETPLACE,36216,72.72727272727273
Gyllene Berg B.V.,7245004BC37CJD8L0K32,JOINT STOCK COMPANY BERG AB,50749,42.85714285714286
MAHALUXMI IRON TRADING COMPANY PRIVATE LIMITED,648800ZS3RKOPN2LAI96,AL MAHRUS GROUP TRADING COMPANY,20090,71.42857142857143
ONIX INVEST ASSETS SL,9598005WE145PRK2NZ20,O'NEILL ASSETS CORP,37449,62.857142857142854
MONSTBRGK ENERGY PRIVATE LIMITED,894500P2FLMWJ6JLH481,SBL ENERGY PRIVATE LIMITED,57923,69.23076923076923
ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY,335800K8A7JOC7VWAJ63,HILAL AHMAR SOCIETY INDONESIA,17269,55.88235294117647
GOMITRAA BIOFUEL PRIVATE LIMITED,648800H3K72L9QBZAI51,,,0.0
DEEBACO PRIVATE LIMITED,64880056GRXJQRQ23C18,,,0.0
NUBIA CAPITAL PARTNERS S.L.,959800FE9DEPFA9UFA32,ORBITA KAPITAL PARTNERZ,47254,75.0
NUBIA FINANCIAL ASSETS S.L.,959800XG6Z8BT9RERX21,RUSSIAN FINANCIAL CORPORATION BANK JSC,24026,63.829787234042556
MALIVI GmbH,391200JM0T6POYYS9L29,LIMITED LIABILITY COMPANY RAZREZ MALINOVSKIY,48903,35.29411764705882
S S ASSOCIATES,3358007K3820SCHWF336,ASSOCIATES OF PARTNERS SAL OFF-SHORE,42276,65.11627906976744
Halpan Beheer B.V.,724500H7XPS607FEBU32,GHADIR TOSE-E SAAMANEHAYE BEHENGAAM,25946,41.666666666666664
INVESTMENT STRATEGIES S.R.L.,984500PBF64KE3E2AB20,STREET INVESTMENTS PVT LTD,44469,82.05128205128204
HESA CONSUMER PRODUCTS PRIVATE LIMITED,335800TMT55U7NNZPZ87,AL MOUKHTAR PRODUCTS CO. SARL,37424,66.66666666666667
LUCKY MARINE SHIPPING & LOGISTICS PRIVATE LIMITED,335800800Y9LMAZBWZ13,LUCKY OCEAN SHIPPING LIMITED,52853,66.66666666666667
"MOEBIUS BUSINESS CONSULTING, S.L",9598001FJ7XUWK3RZL41,KORUS CONSULTING CIS LLC,36419,66.66666666666667
herbX holding GmbH,391200KX9LLBL0K9QV30,CHAM HOLDING,12744,72.0
"JGV RENTING FLOAT COMPANY, SL",9598009ZL3MHVBTWQ662,"SOCIALIKA RENTAS Y CATERING, S.A. DE C.V.",15342,48.0
HOLDING MA'S,894500P2A234W77PTK86,MAGUS HOLDING LLC,26206,88.0
ADVANCED CONSULTING PROFESSIONAL SERVICES SL,894500P24IJD97VU6083,"CONSULTORIAS PROFESIONALES ALMIDA, S.A. DE C.V.",54358,65.0
INVERSIONES LACRE S.L,9598003B7BJHN37BY108,INVERSIONES VALLE,16632,78.94736842105263
RATATUI PROYECTOS HOSTELEROS SL,959800N3J58C43W4CZ16,BLUE-STAR SECCION HOSTELERIA S.L.,11878,51.61290322580645
CSK DECOR N HARDWARE (OPC) PRIVATE LIMITED,6488000W6OFA6MN5R474,HARDSEA AGENCIES,25801,40.0
VILLAVESA LOGISTICA SL,894500P09ZY5LFXABC55,POLARSTAR LOGISTICS LLC,48021,68.29268292682926
LACATA PROYECTOS HOSTELEROS SL,959800B33NUSPQF80339,"COLINAS PROYECTOS Y CONSTRUCCIONES, S.A. DE C.V.",56783,56.71641791044777
DERION EPC PRIVATE LIMITED,6488008B3CQ339JGXO11,BLACK DIAMOND PETROLEUM DERIVATIVES,54476,35.55555555555555
URBAN TREE REAL ESTATES LLP,648800F4BFLDU5IAIU50,"VTB REAL ESTATE, LLC",18735,73.6842105263158
ZM Holding GmbH,529900S3PTP4U2NJNI86,ZEM HOLDINGS LTD,44289,90.9090909090909
Innovative Productions OÜ,9845003AE1E143F5FD85,LLC INNOTECH SOLUTIONS,48585,65.11627906976744
SUSHIL KUMAR GUPTA,648800B9W7T4XOHLO373,MIZU SUSHI LOUNGE,18370,51.42857142857142
LAND RUSH ESTATE INDIA PRIVATE LIMITED,3358007X8KPO3XJ7SC46,ITQAN REAL ESTATE,37488,61.53846153846154
HODL Beheer B.V.,724500ZFV7KV4DCC6210,GHADIR TOSE-E SAAMANEHAYE BEHENGAAM,25946,39.13043478260869
B.J.C. Investments B.V.,724500IF3XPOIKKOJ597,BONUM INVESTMENTS OOO,38057,81.25
PHOENIX EDUCATIONAL INSTITUTE PRIVATE LIMITED,6488004NKDHT3SUUN330,INSTITUTE FOR DEFENSE EDUCATION AND RESEARCH,41481,64.61538461538461
Optical Communications Technologies B.V.,724500YBN38YZW6GPL79,KHAZRA COMMUNICATIONS TECHNOLOGY SOLUTIONS,55443,72.72727272727273
Luke Pearce Flexible Revisionary Trust,9845004DDE4C2A0CFE76,PALESTINIAN AND LEBANESE FAMILIES WELFARE TRUST,15492,51.85185185185186
DINACBA S.L.,959800V00L8AGR2BZY53,DINAMIKA LIMITED LIABILITY COMPANY,51241,50.0
DB S.R.L.,815600B850A21BC1E632,,,0.0
INMODAX PROPIEDADES S.L.,95980022DFT1FRNH7K49,BINARY PROPERTIES PTE. LTD.,55568,56.41025641025641
STELLA S.R.L.,815600AC7A6738AB0E06,STELLA LEONE LIMITED,40792,66.66666666666667
BHUMIKA COLD STORAGE,3358006TWT0C7C0RME63,STORELAB MEXICO,54604,57.14285714285714
CFM V-Series Fund LLC,529900JBATGHER4FU987,AL MASHREK FUND,12746,55.172413793103445
SM WEAVES,335800M744QQ3O8RIX88,SELKBAF SPINNING AND WEAVING FACTORIES,30393,27.906976744186053
AMSPRO LIFESCIENCES PRIVATE LIMITED,6488006G1CB0EFF4UC93,SHREYA LIFE SCIENCES PRIVATE LIMITED,51297,61.53846153846154
ERBOFARMOSAN DI BUBBICO & C. S.N.C.,894500P1798RFBWK8O45,,,0.0
RB CAPITAL HOLDING SOCIETA' A RESPONSABILITA' LIMITATA,5299004TJWGNCS5I8J61,HIGH NUTRITION SOCIEDAD DE RESPONSABILIDAD LIMITADA,26470,68.0
SK TRADING CO,335800JQUIT3YZ7UI788,TRADING COMPANY SMS LIMITED,47600,85.71428571428572
SV PLASTICS AND METALS PRIVATE LIMITED,64880026VM5OWKXSPD35,MCFLY PLASTIC HK LIMITED,28647,58.82352941176471
GINNI GOPAL BOARDS PVT LTD,335800SP4QF44PHGSJ35,IRANIAN PRESS SUPERVISORY BOARD,15543,44.89795918367348
Lusitanahof Ltd.,529900S0WY0CVPF04M50,,,0.0
ACCURATE FORGE,335800AITBYRVJ84HJ49,ANYANG CNC FORGING EQUIPMENT CO LTD,48809,47.61904761904761
BABA FOODS,3358000A1VGM80TVVI35,ASASI FOODS FZC,26998,76.19047619047619
Goldenburg Kereskedelmi Kft,894500OZYWUMBH9J0825,GOLDEN MIST PTE. LTD.,56792,52.63157894736843
ONS FREIGHT SOLUTIONS,335800K83O9QI45C8630,FREE SKY SOLUTIONS OU,50190,76.19047619047619
SUNBURY PROPCO LIMITED,984500F4F00AC74U1522,SUN PROPERTIES LLC,27033,57.14285714285714
بيس هافن تريدنج ش.م.ح,254900SUL5U6J70I3V07,,,0.0
PG TRADERS,6488000AG0R5JZLR5Y68,CGN TRADE FZE,36080,73.6842105263158
ARAV FABRICS,984500A751D7DE94C097,OOO FABRIKON,50897,50.0
SAVES ENERGY ROMANIA S.R.L.,984500BF9DAD6CC50370,PUMA ENERGY MYANMAR PTE. LTD.,44661,66.66666666666667
INNOVAZIONI GROUP SRL,894500P1ICCAPAKBJS18,SINNO GROUP LIMITED,51164,71.42857142857143
VISION AMNAYA KHAJAGUDA PROJECT LLP,648800DO8E02Y4UYNW35,GMI PROJECTS HAMBURG GMBH,30763,54.90196078431373
RIZZI GROUP CONSULTING SOCIETA' A RESPONSABILITA' LIMITATA,52990047VFKYSCENSL11,BAJER SOCIEDAD DE RESPONSABILIDAD LIMITADA,26469,65.26315789473685
LUKOL & SONS SL,959800N41X3J1DJK0874,NK LUKOIL OAO,17248,63.63636363636363
PLASTIN GOLD S.R.L.,894500P1CSSJ2B8FW825,SULTAN GOLD,27973,69.56521739130434
53 Green Street BV,894500P11POZSCKOL402,"GREEN INDUSTRIES, LTD",27165,64.51612903225806
"SOF-XIII U.S. NRE HOLDINGS, L.P.",254900E8981LO7GY2868,RISEONIC HOLDINGS LTD,44286,63.41463414634146
Kadmeia Korlátolt Felelősségű Társaság,894500OZNTR31ILRP495,MATRIX METAL GROUP KORLATOLT FELELOSSEGU TARSASAG FELSZAMOLAS ALATT,49780,64.76190476190476
LEVERANDØRSELSKABET DANISH CROWN AMBA,894500P0W6585D8SXK65,GOLDEN CROWN OVERSEAS LIMITED,29624,51.72413793103448
SB PATRIMOINE,984500DR7D64YEF80907,PATRIOT INC.,57139,60.0
FOREMAN MACHINE TOOLS PRIVATE LIMITED,335800A3PK93YQ1IDT29,HYPER MACHINE TOOLS,49155,75.0
"Bain Capital Credit Managed Account (GESB), L.P.",254900IU1NF2UXRRTT14,JOINT STOCK COMPANY BANK UNITED CAPITAL,51665,56.33802816901409
HYDRONIC LIFT SRL,815600A843D9943D8538,HYDRO COMPANY S.A.L.,47331,55.55555555555556
FABTILE SIGNATURE,335800QP52EK4TS5SZ52,LIMITED LIABILITY COMPANY SIGNATEK,41118,68.57142857142857
RANZI S.N.C. DI RANZI FABRIZIO E GIORGIO,894500P04GEDYGLENS07,OAO GRODNENSKAYA TABACHNAYA FABRIKA NEMAN,32678,40.54054054054054
SPA Capital Fund III Coöperatief U.A.,724500JINDVN5D2GEI15,BASIJ COOPERATIVE FOUNDATION,25017,64.40677966101696
Forwardis GmbH,5299007369IGMO0ULG78,FORWARDERZ,30518,73.6842105263158
"KLIMTHERM GYÁRTÓ, ÉPÍTŐ KFT",894500OZIA7BEJ9W1K30,AO ODK-KLIMOV,35336,35.89743589743589
EUROPEAN SUPERMARKET INVESTMENTS I FRANCE PROPCO 5,648800F14KAORS668B45,YOUSSER COMPANY FOR FINANCE AND INVESTMENT,9964,55.263157894736835
EUROPEAN SUPERMARKET INVESTMENTS I FRANCE PROPCO 4,64880081LHHY6ETWQO53,YOUSSER COMPANY FOR FINANCE AND INVESTMENT,9964,55.263157894736835
EUROPEAN SUPERMARKET INVESTMENTS I FRANCE PROPCO 3,648800O44GM10JQ8VB10,YOUSSER COMPANY FOR FINANCE AND INVESTMENT,9964,55.263157894736835
SULLA ORO SOCIETA A RESPONSABILITA LIMITATA SEMPLIFICATA,894500P0FJHX8F95YW76,BAJER SOCIEDAD DE RESPONSABILIDAD LIMITADA,26469,63.1578947368421
galimero Holding GmbH,391200U8XVZ1FL4WYB53,ARIMERO HOLDING LIMITED,34616,90.32258064516128
POWERCAST PTY LTD,98450076AF8B4BB64B94,THORIUM POWER COMPANY,53933,53.84615384615385
EUROPEAN SUPERMARKET INVESTMENTS I FRANCE PROPCO 1,6488004TRX6QYHJ2FO24,YOUSSER COMPANY FOR FINANCE AND INVESTMENT,9964,55.263157894736835
EUROPEAN SUPERMARKET INVESTMENTS I FRANCE PROPCO 2,648800YM8IYP5IKTY908,YOUSSER COMPANY FOR FINANCE AND INVESTMENT,9964,55.263157894736835
FEDERACIÓN SANTA CLARA DE LOS MONASTERIOS DE HERMANAS POBRES DE SANTA CLARA EN ESPAÑA,959800A490YYT6LE6060,CENTRO DE CAPACITACION DEL MINISTERIO DEL INTERIOR DE LA FEDERACION DE RUSIA EN MANAGUA,47288,58.74125874125874
NEO WSI REAL ESTATE TRUST,335800IA3BYO6VGBP242,RG REAL ESTATE GMBH AND CO. KG,44244,66.66666666666667
"Sandton Fund V Co-Invest, LP",254900SKP8UVUQ17AX19,AL MASHREQ INVESTMENT FUND,12746,63.63636363636363
"LUHR BROS., INC.",98450060C440BE74AA79,AL OMGI AND BROS COMPANY,20820,55.55555555555556
"TOP PRINT BALTIC, SIA",64880021A9KQAO77EP08,BALTIC PLANT,36037,62.5
Stichting Wappingers,724500J07S4O1G4VRW57,STICHTING AL-AQSA,7643,52.94117647058824
LUND-SANGOLT INVEST AS,648800Q3XE9BTH87XF80,SATA INVESTMENT COMPANY,28658,64.70588235294117
Markoó Kft,894500OZTDAUOHXNCO96,AL-KHAIR MARKET,23051,54.54545454545454
JYOTHI SAJI,648800L4Z76YCBF66011,,,0.0
ALNET LTD,984500DC4B137K4BED56,ALNEZAM AL ASASY GENERAL TRADING,40221,29.411764705882348
Staab Architekten GmbH,391200LVLFYNZE6F4R54,ARCHITECTONIC CORP LIMITED,57527,60.0
OM FABRICA,335800JL7TF3GT0U7P42,OOO FABRIKON,50897,66.66666666666667
AAJ INFRACON LLP,64880055BQ9X4Y654G58,AO INFRAVEB,35001,60.86956521739131
BRITTON SUPER FUND PTY LTD,984500BGCRB660SAB765,MIGHTY DIVINE FUND SPC,55967,59.09090909090908
MAHADEVA VENTURES LLP,335800P7KDQ8PUZI3S49,SME VENTURE LLC,34674,71.42857142857143
Kuki Holding B.V.,724500ERF3PE60DX0966,KHITI HOLDING PRIVATE JSC,30163,80.0
GHEA SRL,81560076DF35A6409B54,,,0.0
Biosearch Invest ApS,98450081491PBI5QBB02,LLC A INVEST,46053,66.66666666666667
HAGA Automatika Kft.,894500OZCQNJRJY0E047,SHARPLINE AUTOMATION PRIVATE LIMITED,51096,56.41025641025641
"WC-BASE ASSOCIATES, LLC",254900FRLCC086PTIF44,LEBANESE MARTYR ASSOCIATION,10411,62.22222222222222
Easy Clean GmbH Gebäudereinigungsservice,391200MN5U5EI5MANL34,LIMITED LIABILITY COMPANY CLEAN GASES PLUS,45780,45.90163934426229
Devera Digital s. r. o.,097900CAKA0000349660,LLC RUS.DIGITAL,36367,64.51612903225806
PKM HOLDING j. s. a.,097900CAKA0000348496,"I AND S HOLDING COMPANY, S.A.",13356,71.42857142857143
ZC trade s. r. o.,097900CAKA0000349854,"S&C TRADE PTY CO., LTD",41129,66.66666666666667
Oreggia International & Co k.s.,097900CAKA0000349757,KGI INTERNATIONAL COMPANY LTD,23323,82.92682926829268
germania elektronik Gesellschaft für Umwelttechnik und Elektronik mbH,391200FNTVXZ2YQKDF86,KONOMAR GEMI ELEKTRIK VE ELEKTRONIK LIMITED SIRKETI,46629,57.407407407407405
Ewen & Bruns GbR,391200FRTRVD670K2D27,,,0.0
SACASA B.V.,724500MM4G6RFSFS1M58,"BANCO DE VENEZUELA, S.A.C.A.",26590,38.46153846153846
FrieslandCampina International Holding B.V.,724500C0YRM76512FD68,AFRICAN TRANS INTERNATIONAL HOLDINGS B.V.,24668,75.67567567567568
MOHD HUSAIN LEMONWALA,648800FLO9V53BO9AU87,,,0.0
KULAR BIOENERGY PRIVATE LIMITED,3358000IWI8SPEX5KW34,BIOESPORT S.A. DE C.V.,10996,44.44444444444444
UNIQUE PACKAGING CORPORATION,335800MVOWXUQWMQK530,UNIQUE STATION TRADING,55477,63.1578947368421
DEMEURE REALTORS LLP,6488007549507QLGLY21,AKALI REALTORS,54356,60.0
Kurt Hunsinger GmbH,391200H6GC6IZ2PE1B62,DEVRIMCI HALK KURTULUS PARTISI-CEPHESI,4713,38.46153846153846
"GREEN START COLORADO, LLC",2549004JCC4KQKBR2W09,GOLDEN STAR CO,24752,64.51612903225806
ARB STEELS,6488008S6BBFIRJPII37,SABA STEEL,28303,80.0
A1 AUTO DECORS,33580020PXHSKA0SR197,AUTO PARTS EAST FZCO,51227,58.82352941176471
R3O Beteiligungs GmbH,529900UYJ9SKPQMOQH43,BETENSH GLOBAL INVESTMENT LIMITED AND DONG DONG SHIPPING LIMITED,54334,30.000000000000004
ADN ENTERPRISES,3358005ZYGSXH57KBG45,ANFASAR ENTERPRISES S PTE LTD,39358,77.77777777777779
RAJASTHAN IRON TRADERS,894500OYQKGH7MMHRS51,MADA'IN NOVIN TRADERS,28684,65.11627906976744
ORCA PENSIONS HOLDINGS LIMITED,6488002UZIJYN8MC3H82,PICOTIN HOLDINGS LIMITED,49485,68.42105263157895
DH Asset Holding GmbH,529900YDB76QTR4SAN86,ASCENT HOLDINGS LTD,44249,77.41935483870968
"IC MIAMI OWNER, LLC",25490019E2AD5I1OEO04,STATE OWNED FOREIGN TRADE UNITARY ENTERPRISE BELSPETSVNESHTECHNIKA,34776,25.0
SMARTKIDS INDIA INNOVATIONS PRIVATE LIMITED,648800COJ172ESR82X76,STC INNOVATIONS LIMITED,49936,66.66666666666667
V SOMA SUNDARA RAO MOTORS,335800WX8IHDHE6CR018,JSC UEC PERM MOTORS,51127,55.00000000000001
SUNIL SHYAMRAO BABAR,648800F6780FNSPJLB94,SHAHID BABAEI GROUP,26553,51.28205128205128
MAHARANA PRATAP SHIKSHAN SAMITEE,335800MRR4926TXT4740,"SATEREH SHARGH SAMIN CO., LTD.",21545,46.15384615384615
Artadi Invest B.V.,724500E446OVSUZ44N95,LLC A INVEST,46053,76.19047619047619
SAMTA FUTURE MOBILITY LLP,894500OYFHCXXNYQGO47,FUTURE OASIS PTE. LTD.,57838,60.60606060606061
"QUITO HOSPITALITY ASSOCIATES, LLC",254900VAEJENOVDQIG78,ASSOCIATES OF PARTNERS SAL OFF-SHORE,42276,59.64912280701755
JQC Holding ApS,984500FCD58PCE58FC05,LLC RCC HOLDING COMPANY,44987,81.81818181818181
AGRAVANSHI HOMES LLP,335800I5KQG4GE8LF058,HOME AND AWAY LTD.,23337,56.00000000000001
HYNANO ASA,1595SNMQ8J24ON38XF91,,,0.0
U KAGRI CULTURAL TRADING PRIVATE LIMITED,335800KFH6EKKYC11463,KARA INDUSTRIAL TRADING GMBH,48638,72.34042553191489
HOLOCENE HOLDINGS GROUP LTD.,648800QOC0JRSFYQ8113,PRINCE GROUP HOLDINGS LIMITED,55548,77.27272727272727
MADHULIKA ESTATE ENTERPRISE PRIVATE LIMITED,3358008X6W7S14C69L45,MYANMA GEMS ENTERPRISE,31651,69.38775510204081
"RS 60 E 12TH STREET, LLC",2549009GD19XSXOW9304,STREET MOTOR SERVICES,44470,60.0
STRATA CARRY PTY LTD,98450052E976NA53OJ27,CASH & CARRY RETAIL STORES,12458,55.00000000000001
SOUNDARARAJAN,335800YBG11MBEWX7Y63,,,0.0
MAHIRA INTERNATIONAL,335800135U9JTOE19C30,MACERA INTERNATIONAL LIMITED,54616,90.0
MERCER GROWTH FUND,9845006R8154362ADB08,AL MASHREK FUND,12746,53.333333333333336
MERCER MODERATE GROWTH FUND,984500D67CL06A872B46,SAMARA HEAT AND POWER PROPERTY FUND,31914,51.72413793103448
"GCP XXVII, Ltd.",2549002Z30ZKMD8OLY79,,,0.0
ARPA DI SIGNA SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,8156003EEE9A727D8022,BAJER SOCIEDAD DE RESPONSABILIDAD LIMITADA,26469,62.62626262626263
DEEP STONE CRUSHER LLP,3358000BOF915GBU2072,DEEP CURRENT SHIPPING L.L.C,56394,56.41025641025641
SWATI SANDIP SAWANT,648800YR37B0045PYY74,WHITE SANDS SHIPMANAGEMENT CORP.,54407,57.77777777777777
MAHENDRA RAI,6488001HO6QNV8BOD518,MAHER TRADING AND ENGINEERING,21562,48.64864864864865
I GOFFI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,8156008A02A98C48CC44,BAJER SOCIEDAD DE RESPONSABILIDAD LIMITADA,26469,64.51612903225806
Exxent AB,636700P4ZP8H5U0PZP35,,,0.0
CJEV B.V.,724500YB35KA7AJKJV79,,,0.0
P.M. Wondergem Beheer B.V.,724500CCOI7QOMQFA713,"ZHEJIANG WONDER IMP. AND EXP. CO., LTD.",39820,52.38095238095239
GIRHINDA AUTOMOBILE PRIVATE LIMITED,648800RZR2FJGOZWDQ12,CROWN AUTOMOBILES,26175,72.22222222222221
N Vijaya Raghava Reddy,648800YYCV4B0488HX65,,,0.0
SAIBABA AGENCY,894500OY9XT6AOMUT482,AMD CO. LTD AGENCY,8340,66.66666666666667
"UV Serviss, Sabiedrība ar ierobežotu atbildību",648800O6Y3J92BAKSR44,SABIEDRIBA AR IEROBEZOTU ATBILDIBU 'FALON INTERNATIONAL',25000,68.68686868686868
ABBAS WAZIR PRIVATE LIMITED,648800ZAO7LQ84OZAN29,PLF-ABU ABBAS,4708,58.33333333333333
AQUA VIBE PRIVATE LIMITED,648800HZKB4TFWFPBJ72,OOO AQUA SOLID,36537,63.1578947368421
Fleetflow s.r.o.,6488002Y73EKLRJNWZ31,MISTRAL FLEET CO LTD,57003,61.53846153846154
Coyote Copper Mines Inc.,529900PPNPKLMTZUNX51,JOINT STOCK COMPANY RUSSIAN COPPER COMPANY,44990,57.77777777777777
RENEGÁT X Kft.,64880061Z9RFF0FKNM43,IRAN HELICOPTER SUPPORT AND RENEWAL COMPANY,23463,36.36363636363637
M/S M S P TRADERS,335800WTT67328WC0D67,MA GOLD TRADERS PTY LTD,39581,66.66666666666667
